n_heliostats,receiver_area,max_heat_flux,avg_heat_flux,heat_stored,residence_time,particle_velocity,heliostat_efficiency,bdr_efficiency,solar_field_efficiency,receiver_efficiency,thermal_efficiency,mass_flow_rate,temp_parts_avg,temp_parts_max,temp_parts_min,temp_parts_std,iterations,solve_time_res,simulation_status,case_name,focal_height,receiver_power,thickness,simulation_time,success
2392,18.25682071006684,2.2183767881749663,1.0,10.000244785004133,31.78704285540105,0.0722216051205026,0.7553548719709627,0.8868806334933501,0.6697311394089455,0.7706543872617491,0.5161312408713139,31.244380425088604,1199.7567530175893,1370.2739746607458,950.0,117.38573900252683,5,False,standard,zf40_Q1.00_P10.0_tz0.030,40,10,0.03,98.28667497634888,True
2399,18.25682071006684,2.3584970285224376,1.0,10.003124362414685,52.9582843953837,0.043349426501651966,0.7553084963896015,0.8865882998430461,0.669461549453789,0.7689364948482156,0.5147734172726518,31.300611488286467,1199.3920890367656,1369.9520902853553,950.0,116.7287299325691,6,False,standard,zf40_Q1.00_P10.0_tz0.050,40,10,0.05,94.45128512382507,True
2400,18.25682071006684,2.314198019280665,1.0,10.000753274324866,74.20373556120609,0.030937947256815358,0.7552326851567899,0.8865404637550243,0.6693620904874932,0.7685480957351596,0.5144369600014684,31.214396581038514,1199.9999999999998,1368.225498520385,950.0,116.94105373411253,5,True,converged,zf40_Q1.00_P10.0_tz0.070,40,10,0.07,95.2452597618103,True
3635,18.25682071006684,2.832512981210871,1.0,15.00067872411775,21.270644733400488,0.10792861644886578,0.7288086125226246,0.8646286973943246,0.6297736448254908,0.8089705361128035,0.5094683230841915,46.80751175905436,1200.0463489437593,1349.6717186435235,950.0,101.50880074916195,2,False,standard,zf40_Q1.00_P15.0_tz0.030,40,15,0.03,82.66374325752258,True
3651,18.25682071006684,2.758681158602666,1.0,15.001769023885304,35.3065608361384,0.06502222823984229,0.728584011755369,0.8643053179416053,0.6293393504188081,0.8060397244043527,0.5072725165683903,46.93941070460697,1199.3852712445835,1352.83467950414,950.0,101.2492904190248,5,False,standard,zf40_Q1.00_P15.0_tz0.050,40,15,0.05,91.58744025230408,True
3652,18.25682071006684,2.7370207579086543,1.0,15.001890337795599,49.64010870305869,0.04624710374394915,0.7285404994284818,0.8643864497310844,0.6293569976017068,0.8058029335455991,0.5071377149149059,46.820282599098874,1200.0000000000005,1346.8908720854192,950.0,101.51518438551126,5,True,converged,zf40_Q1.00_P15.0_tz0.070,40,15,0.07,104.09601378440857,True
5070,18.25682071006684,3.209721908917625,1.0,20.00077661719842,15.957148754997373,0.1438672592641157,0.7048157230748532,0.834970591926561,0.5883066129876438,0.8278389603999814,0.4870231348921252,62.41920560399379,1200.0,1339.0389424286006,950.0,93.05707690768322,5,True,converged,zf40_Q1.00_P20.0_tz0.030,40,20,0.03,90.95725297927856,True
5075,18.25682071006684,3.1879006678831097,1.0,20.001967082365567,26.600063588806908,0.08630472815926969,0.7047370554362612,0.8347988748476204,0.5881187982023822,0.8273367050148159,0.48657226866203235,62.422824424509066,1199.999999999782,1334.3096704280022,950.0,92.6951525624342,5,True,converged,zf40_Q1.00_P20.0_tz0.050,40,20,0.05,106.14400362968445,True
5084,18.25682071006684,3.2321748812778854,1.0,20.002916586967064,37.10872653243663,0.06186445808224095,0.7046190455204884,0.8345314970692413,0.5878472817979012,0.8262927828766078,0.4857339663832373,62.60208187835673,1199.320206619816,1334.0396303998145,950.0,92.51514622598867,4,False,standard,zf40_Q1.00_P20.0_tz0.070,40,20,0.07,91.69042658805847,True
6765,18.25682071006684,3.6378621518861536,1.0,25.00170078515882,12.71819710412311,0.18050602913733912,0.6863621183880446,0.7905893277275274,0.5429647215920866,0.840312514525955,0.4562600504999314,78.32241031540067,1199.082291160212,1331.4266280139468,950.0,87.82873200758493,4,False,standard,zf40_Q1.00_P25.0_tz0.030,40,25,0.03,85.38274955749512,True
